filename,page_number,chunk_number,chunk
clothing_brand_employee_report_2020_2MB.pdf,1,1,Clothing Brand Employee Annual Wage Report - 2020 Employer Employee Fullname SSN Date of Hire Termination Date Reported Year Annual Salary Wages Q1 Wages Q2 Wages Q3 Wages Q4 Resident ChicWave Clothing Adam Hill 001-39-7292 2016-06-28 2017-11-05 2020 31428.72 8049.03 8003.62 7359.23 8016.84 Connecticut ChicWave Clothing Adam Stone 144-89-7698 2010-08-31 2011-09-15 2020 73052.89 18498.39 18023.9 18450.69 18079.91 Rhode Island ChicWave Clothing Adrian Hernandez 881-33-2876 2015-12-16 2019-11-20 2020 50168.61 12299.97 12382.48 12397.39 13088.77 Illinois ChicWave Clothing Adriana Macias 451-22-3769 2011-04-25 2020-01-25 2020 117689.1 28975.97 29359.36 29760.95 29592.82 Tennessee ChicWave Clothing Alex Stewart 585-50-5283 2019-09-28 2019-12-12 2020 93411.14 23530.71 23620.31 23429.43 22830.69 New York Chi
clothing_brand_employee_report_2020_2MB.pdf,1,2,cWave Clothing Alexander Fowler 692-96-7568 2016-06-26 2019-05-29 2020 72888.55 18352.0 18171.99 18056.79 18307.77 West Virginia ChicWave Clothing Alexandra Bradley 110-43-4663 2017-09-24 2020-06-16 2020 76930.61 19190.7 19696.68 18793.48 19249.75 Ohio ChicWave Clothing Amy Collins 447-66-5862 2015-04-18 2020-04-04 2020 38197.97 9194.82 9975.35 9484.87 9542.93 Ohio ChicWave Clothing Amy Jensen 542-06-1154 2015-03-04 2015-11-01 2020 80952.79 20223.54 20081.94 20420.75 20226.56 Indiana ChicWave Clothing Amy Parsons 469-05-4808 2013-06-06 2013-10-20 2020 77335.6 19290.83 19556.34 19243.88 19244.55 Illinois ChicWave Clothing Amy Patrick 157-92-3451 2013-10-30 2019-10-15 2020 85173.53 21115.98 21434.29 20903.85 21719.41 West Virginia ChicWave Clothing Andre Wilson 675-81-3055 2018-01-31 2018-09-05 2020 10
clothing_brand_employee_report_2020_2MB.pdf,1,3,8519.88 27456.79 27314.94 26931.04 26817.11 New Jersey ChicWave Clothing Andrea Hensley 044-56-0308 2017-10-27 2018-02-24 2020 91864.64 23390.07 23253.99 23091.22 22129.36 Massachusetts ChicWave Clothing Andrea Robinson 834-23-8903 2011-10-20 2014-01-27 2020 75210.05 18483.7 19295.06 18893.71 18537.58 Illinois ChicWave Clothing Angel Aguirre 334-87-7280 2013-12-22 2019-02-19 2020 33779.4 8728.33 8420.12 8541.06 8089.89 New York ChicWave Clothing Angel Fry 467-94-8525 2018-12-01 2019-08-20 2020 57175.13 14516.67 13805.22 14447.47 14405.77 Nevada ChicWave Clothing Angel Powers 257-13-3235 2019-11-17 2020-11-29 2020 38668.25 9315.96 9358.99 9693.52 10299.78 Michigan ChicWave Clothing Angel Young 659-15-5341 2015-05-27 2015-12-28 2020 60792.69 15674.61 15435.6 15132.5 14549.98 Indiana ChicWave Clothing A
clothing_brand_employee_report_2020_2MB.pdf,1,4,ngela Warren 096-34-4279 2015-08-26 2020-04-26 2020 119950.06 30304.36 30428.51 30152.59 29064.6 Florida ChicWave Clothing Angela Yates 458-73-8568 2014-03-21 2016-04-19 2020 101608.66 25553.7 25204.01 25706.29 25144.66 Kentucky ChicWave Clothing Anita Nielsen 625-84-3128 2011-03-31 2018-07-29 2020 79745.51 19745.65 20394.86 19799.23 19805.77 Louisiana ChicWave Clothing Anna Brennan 743-81-7769 2016-07-17 2016-12-12 2020 41564.29 10513.39 9965.43 10146.04 10939.43 Hawaii ChicWave Clothing Anthony Cooper 798-02-7682 2017-09-22 2019-11-27 2020 92420.44 23533.96 23392.1 22828.35 22666.03 New Mexico ChicWave Clothing Anthony Miller 329-81-8673 2013-04-12 2017-04-30 2020 63236.48 15835.38 15897.36 15828.06 15675.68 Illinois ChicWave Clothing Anthony Simpson 175-48-1856 2015-10-02 2017-11-15 2020 88702.36 
clothing_brand_employee_report_2020_2MB.pdf,1,5,21871.69 22291.59 22411.26 22127.82 Ohio ChicWave Clothing Antonio Gonzalez 714-80-4445 2010-11-26 2018-10-24 2020 62887.12 15904.72 15984.51 16176.23 14821.66 Tennessee ChicWave Clothing Antonio Mueller 209-97-8867 2010-07-20 2016-08-25 2020 88203.53 22473.11 22398.02 21643.35 21689.05 New Hampshire ChicWave Clothing Arthur Mcneil 656-42-4537 2014-06-11 2020-01-09 2020 109055.97 27241.44 26963.45 27727.91 27123.17 Virginia ChicWave Clothing Ashlee Mitchell 549-45-6733 2014-06-30 2017-10-02 2020 77292.94 19136.99 18996.42 19735.36 19424.17 Tennessee ChicWave Clothing Austin Reynolds 312-13-7262 2015-10-29 2020-05-28 2020 88143.84 21792.41 22137.19 21941.83 22272.41 Idaho ChicWave Clothing Benjamin Mcmahon 096-44-9733 2018-03-19 2018-05-06 2020 47915.21 11987.93 11978.88 11524.11 12424.29 Nevada Page 1
clothing_brand_employee_report_2020_2MB.pdf,2,1,Clothing Brand Employee Annual Wage Report - 2020 ChicWave Clothing Beth Lewis 634-08-3587 2016-09-03 2018-03-27 2020 86030.43 21260.72 21466.25 21863.02 21440.44 West Virginia ChicWave Clothing Bianca Bowen 866-68-7060 2013-08-21 2014-07-10 2020 95287.3 23412.27 24013.61 24193.77 23667.65 Maryland ChicWave Clothing Billy Pratt 549-70-6829 2010-04-12 2018-10-24 2020 113593.85 28273.11 28137.0 27989.85 29193.89 Washington ChicWave Clothing Blake Reed 328-22-1454 2015-09-18 2019-07-06 2020 95475.73 24132.79 23734.87 23769.51 23838.56 Alabama ChicWave Clothing Bradley Anthony 316-51-7716 2018-04-28 2019-06-13 2020 56981.15 14561.04 14113.65 14419.09 13887.37 Colorado ChicWave Clothing Bradley Hudson 046-73-7927 2010-10-11 2011-08-05 2020 88794.92 21735.45 22552.56 22365.73 22141.18 Massachusetts ChicWa
clothing_brand_employee_report_2020_2MB.pdf,2,2,ve Clothing Brandi Hardy 471-50-8559 2011-12-21 2012-01-15 2020 88021.65 22087.74 21764.23 22318.16 21851.52 Maryland ChicWave Clothing Brandon Long MD 247-28-9558 2016-01-02 2016-06-01 2020 117054.28 29568.16 29129.35 29554.25 28802.52 Arkansas ChicWave Clothing Brandon Mcclain 766-74-8894 2012-12-13 2018-05-27 2020 91080.11 23086.72 22757.93 22984.32 22251.14 Massachusetts ChicWave Clothing Brandy Brady 422-08-4544 2012-02-28 2014-06-01 2020 68631.5 17272.68 16898.44 17074.44 17385.94 Kansas ChicWave Clothing Brenda Rodriguez 539-47-1189 2016-05-10 2019-09-21 2020 98680.92 24668.5 24684.95 24668.99 24658.48 Pennsylvania ChicWave Clothing Brenda Wilson 046-17-8180 2014-10-13 2017-11-06 2020 105544.36 26576.68 26181.23 26639.68 26146.77 Nevada ChicWave Clothing Brett Owen 517-16-9453 2016-09-01 2018
clothing_brand_employee_report_2020_2MB.pdf,2,3,-11-18 2020 81980.39 20307.24 20887.23 20315.98 20469.94 Oklahoma ChicWave Clothing Brett Pierce 404-90-3482 2018-01-13 2020-11-16 2020 32588.36 8461.66 7869.45 8503.91 7753.34 Missouri ChicWave Clothing Brittany Davis 524-10-1660 2014-05-10 2019-11-01 2020 43486.71 10699.8 10892.02 10487.92 11406.97 Iowa ChicWave Clothing Brittany Kennedy 032-43-6069 2012-01-05 2017-04-01 2020 75222.75 18990.52 18581.13 18313.13 19337.97 Kansas ChicWave Clothing Brittany Martinez 411-05-4487 2013-04-09 2014-07-07 2020 54417.93 13956.57 13764.58 13968.76 12728.02 Nevada ChicWave Clothing Brittany Mejia 212-40-2976 2011-09-19 2012-02-28 2020 109152.05 27554.75 27194.3 26821.89 27581.11 Ohio ChicWave Clothing Brittney Webster 051-87-1337 2014-08-18 2018-05-25 2020 119102.81 29581.08 29896.73 29885.33 29739.67 Texas Ch
clothing_brand_employee_report_2020_2MB.pdf,2,4,icWave Clothing Caitlin Costa 062-46-1737 2011-02-20 2016-08-20 2020 70416.73 17970.53 17429.4 17903.99 17112.81 Virginia ChicWave Clothing Caitlin Lindsey 143-27-6494 2011-05-23 2018-07-08 2020 53366.2 13411.45 13069.52 13364.63 13520.6 Delaware ChicWave Clothing Calvin Miles 563-18-1894 2017-06-14 2017-12-14 2020 83365.09 20830.51 20404.27 20881.82 21248.49 South Carolina ChicWave Clothing Cameron Fisher 117-96-1042 2018-02-07 2020-01-04 2020 82340.0 20558.26 20615.92 20510.5 20655.32 Wyoming ChicWave Clothing Candice Wood 896-31-2871 2018-01-12 2018-11-18 2020 42103.94 10741.71 10513.44 10135.37 10713.42 Massachusetts ChicWave Clothing Carolyn Lee 757-73-9880 2019-08-13 2019-12-27 2020 50653.76 12965.74 12953.0 12544.68 12190.34 California ChicWave Clothing Casey Perez 697-57-0153 2010-02-20 2015
clothing_brand_employee_report_2020_2MB.pdf,2,5,-12-25 2020 33771.53 8876.25 8458.27 8932.01 7505.0 Delaware ChicWave Clothing Cassandra Bonilla 551-85-9557 2011-10-24 2018-04-23 2020 110471.71 28051.18 27391.72 27897.04 27131.77 Tennessee ChicWave Clothing Cassidy Horne 037-71-6871 2013-10-27 2016-07-22 2020 74208.02 18174.64 18904.83 18504.05 18624.5 Kansas ChicWave Clothing Catherine Davis 132-95-4238 2019-07-06 2019-11-25 2020 114294.79 29035.83 28999.74 28950.44 27308.78 Utah ChicWave Clothing Cathy Bell 093-19-4545 2019-11-12 2020-08-08 2020 88821.09 21725.01 22395.02 22122.05 22579.01 Minnesota ChicWave Clothing Cathy Mcdonald 472-47-5457 2013-05-21 2019-02-24 2020 63723.45 16379.57 15747.35 15854.64 15741.89 Virginia ChicWave Clothing Chad Tucker 515-15-7384 2019-08-25 2020-02-06 2020 99808.76 24523.57 24922.34 24644.38 25718.47 Idaho Page 2
