filename,page_number,chunk_number,chunk
clothing_brand_employee_report_2024_termination_exact_year.pdf,1,1,Clothing Brand Employee Annual Wage Report - 2024 Employer Employee Fullname SSN Date of Hire Termination Date Reported Year Annual Salary Wages Q1 Wages Q2 Wages Q3 Wages Q4 Resident ChicWave Clothing Aaron Blanchard 487-97-8381 2022-10-30 2024 57818.32 14871.41 14205.93 14440.8 14300.18 Minnesota ChicWave Clothing Adam Blair 778-47-2643 2023-04-12 2024 49512.26 12520.42 12058.63 11957.29 12975.92 North Carolina ChicWave Clothing Adam Smith 065-70-6798 2018-10-13 2024-04-26 2024 43909.81 11365.81 10721.63 11351.02 10471.35 Montana ChicWave Clothing Adrian Smith 559-75-2241 2020-02-03 2024 44841.29 11136.2 11074.09 10875.55 11755.45 Louisiana ChicWave Clothing Albert Wilcox 487-14-1974 2015-04-15 2024 75861.91 19343.99 19396.5 19371.27 17750.15 
clothing_brand_employee_report_2024_termination_exact_year.pdf,1,2,Minnesota ChicWave Clothing Alexander Chapman 175-50-6752 2017-09-05 2024 90959.21 22950.39 22824.25 22273.21 22911.36 Kansas ChicWave Clothing Alexandra Bennett 575-30-3408 2019-11-11 2024-09-13 2024 59786.42 14952.38 14640.81 15011.45 15181.78 Vermont ChicWave Clothing Alexandra Grant 070-66-3134 2019-04-28 2024 33780.94 8754.73 8135.27 8620.76 8270.18 Rhode Island ChicWave Clothing Alfred Dawson 167-38-4215 2015-09-27 2024 48689.77 12352.79 12372.89 12168.22 11795.87 Arkansas ChicWave Clothing Alfred Martinez 851-06-5548 2018-05-06 2024 31634.34 8160.88 8176.32 7498.67 7798.47 Illinois ChicWave Clothing Allison Bennett 794-93-5505 2018-02-07 2024 115896.94 28812.17 28599.54 28744.46 29740.77 Mississippi ChicWave Clothing Allison Murphy 398-70
clothing_brand_employee_report_2024_termination_exact_year.pdf,1,3,-3417 2014-05-10 2024 100461.71 25060.06 25456.71 25176.97 24767.97 Mississippi ChicWave Clothing Alyssa Lopez 876-45-5564 2020-01-30 2024 54375.29 13989.61 13595.64 13869.41 12920.63 Tennessee ChicWave Clothing Amanda Hanson 743-24-3646 2022-05-21 2024 118028.2 29699.22 29416.0 29845.15 29067.83 Connecticut ChicWave Clothing Amanda Hogan 149-87-8200 2020-05-10 2024 51006.25 12356.87 13119.31 13199.73 12330.34 Connecticut ChicWave Clothing Amanda Johnson 605-86-5041 2019-01-24 2024 72849.52 18224.78 18014.95 18035.53 18574.26 Arkansas ChicWave Clothing Amanda Lamb 642-64-2906 2022-01-02 2024 56060.82 13802.23 13813.63 13797.32 14647.64 Kentucky ChicWave Clothing Amanda Mason 448-96-6654 2020-10-31 2024 57007.79 13810.17 13981.73 13914.2 15301.69
clothing_brand_employee_report_2024_termination_exact_year.pdf,1,4, North Carolina ChicWave Clothing Amanda Mccoy 780-78-0182 2020-08-21 2024 42094.96 10391.75 10192.59 10967.03 10543.59 Iowa ChicWave Clothing Amanda Smith 319-66-8604 2015-05-27 2024 96205.22 23707.0 23994.02 24165.35 24338.85 Vermont ChicWave Clothing Amber Taylor 708-85-2195 2019-09-01 2024 104746.66 26052.9 26167.45 26041.95 26484.36 Maine ChicWave Clothing Amy Hoffman 092-29-9524 2015-07-30 2024 83112.17 20763.32 20559.0 21214.75 20575.1 Indiana ChicWave Clothing Amy Martinez 662-31-5006 2019-05-22 2024 112489.1 27650.01 28491.37 28129.25 28218.47 Utah ChicWave Clothing Amy Miller 691-03-4955 2015-10-21 2024 112040.48 27860.67 27869.1 27585.76 28724.95 Hawaii ChicWave Clothing Andre Sloan 085-76-9182 2014-05-27 2024 52530.19 13398.76 13275.
clothing_brand_employee_report_2024_termination_exact_year.pdf,1,5,15 12829.58 13026.7 Missouri ChicWave Clothing Andrew Hickman 093-25-5784 2020-06-18 2024-01-10 2024 107345.79 26403.62 26679.26 26971.26 27291.65 Alaska ChicWave Clothing Andrew Mcclure 721-12-2550 2015-09-20 2024 53423.17 12929.15 12897.34 13614.31 13982.37 Kentucky ChicWave Clothing Andrew Tanner 598-06-7585 2022-07-09 2024-01-27 2024 112186.66 27858.62 27822.38 27823.7 28681.96 Montana ChicWave Clothing Angela Adams 389-59-1862 2020-12-21 2024 98173.55 25007.68 24946.62 24712.85 23506.4 Nebraska ChicWave Clothing Angela Estrada 291-80-7163 2023-10-14 2024 111966.27 27955.62 27648.35 27920.22 28442.08 Washington ChicWave Clothing Angela Fernandez 709-49-8892 2019-11-25 2024-10-01 2024 117262.84 29540.53 28849.4 29715.1 29157.81 Alabama Page 1
clothing_brand_employee_report_2024_termination_exact_year.pdf,2,1,Clothing Brand Employee Annual Wage Report - 2024 ChicWave Clothing Angela Gordon 130-57-4234 2016-12-10 2024 84295.18 20828.39 21119.5 21049.03 21298.26 Arizona ChicWave Clothing Angela Hernandez 442-60-6342 2022-09-13 2024 37996.23 9201.6 9397.31 9262.19 10135.13 Indiana ChicWave Clothing Anita Bird 792-16-0467 2015-07-21 2024 88925.17 22519.33 22520.02 21876.33 22009.49 Oregon ChicWave Clothing Anna Jones 201-01-0243 2019-06-07 2024 92980.72 22978.14 23670.89 22994.55 23337.14 Minnesota ChicWave Clothing Anthony Castillo 216-57-4134 2023-02-17 2024 38860.01 9535.78 9518.38 10040.74 9765.11 Maryland ChicWave Clothing Anthony Graham 458-87-0869 2017-01-14 2024 76540.88 19160.85 18856.04 19142.81 19381.18 Washington ChicWave Clothing A
clothing_brand_employee_report_2024_termination_exact_year.pdf,2,2,pril Kemp 144-45-6513 2018-01-01 2024 81406.5 20272.66 19918.08 20752.35 20463.41 South Dakota ChicWave Clothing Ashley Davis 768-15-2240 2021-07-21 2024 41875.85 10004.1 10536.39 10248.43 11086.93 Maryland ChicWave Clothing Ashley Jimenez 521-47-3743 2020-07-10 2024 106612.97 26936.54 26986.1 26802.76 25887.57 Rhode Island ChicWave Clothing Ashley Stark 294-77-2657 2022-07-16 2024 52420.12 13489.79 13567.63 13064.23 12298.47 Massachusetts ChicWave Clothing Barbara Perez 716-53-7117 2015-12-24 2024 42495.43 10599.98 10437.4 10689.26 10768.79 Louisiana ChicWave Clothing Benjamin Banks 190-11-9473 2017-07-24 2024 60604.56 14672.16 15579.46 15090.42 15262.52 Illinois ChicWave Clothing Beth Higgins 672-10-7921 2020-08-28 2024 116095.43 293
clothing_brand_employee_report_2024_termination_exact_year.pdf,2,3,18.39 29318.84 29019.59 28438.61 Florida ChicWave Clothing Brandon French 293-96-7703 2019-06-01 2024 65900.04 16740.97 16690.87 16509.16 15959.04 Mississippi ChicWave Clothing Brandy Rivas 853-14-9237 2023-01-19 2024 80802.66 19832.44 19987.22 20450.78 20532.22 Maine ChicWave Clothing Brenda Jones 708-34-4137 2017-07-14 2024 53386.62 12887.02 13635.5 12945.01 13919.09 North Dakota ChicWave Clothing Brent Gonzalez 787-39-7086 2020-02-26 2024 64750.37 16554.83 15801.45 16283.5 16110.59 Kansas ChicWave Clothing Brent Johnson 634-59-9415 2020-12-20 2024-01-16 2024 102002.48 25257.56 25786.14 25601.08 25357.7 Mississippi ChicWave Clothing Brett Sanchez 825-74-1142 2019-12-16 2024 75350.24 18996.68 18353.19 18757.19 19243.18 Utah ChicWave C
clothing_brand_employee_report_2024_termination_exact_year.pdf,2,4,lothing Brian Patel 553-46-1200 2019-03-27 2024-06-07 2024 118284.01 29689.7 29392.89 29826.5 29374.92 Georgia ChicWave Clothing Brian Rivera 273-70-6493 2019-11-16 2024-06-25 2024 49764.2 12617.45 12000.64 12663.58 12482.53 Virginia ChicWave Clothing Bryan Gaines 021-52-8043 2014-12-23 2024 54124.72 13404.88 13461.79 13986.94 13271.11 New York ChicWave Clothing Cameron Payne 463-75-7672 2019-10-03 2024 94076.43 23630.73 23553.8 23626.54 23265.36 California ChicWave Clothing Cameron Williams 135-76-6369 2018-04-28 2024 82442.55 21063.36 20251.36 21090.91 20036.92 New Hampshire ChicWave Clothing Carla Mills 054-02-3132 2015-09-03 2024 36542.97 9444.29 9237.04 8734.84 9126.8 Kansas ChicWave Clothing Carlos Lee 484-15-9967 2019-08-28 2024
clothing_brand_employee_report_2024_termination_exact_year.pdf,2,5,-02-19 2024 53749.64 13186.66 13079.24 13737.17 13746.57 Michigan ChicWave Clothing Carly Guerrero 495-45-7617 2019-05-03 2024 98365.54 24291.41 24665.58 24662.11 24746.44 Hawaii ChicWave Clothing Carolyn Campbell 366-85-7539 2023-12-28 2024 87392.64 21599.4 21677.09 21403.11 22713.04 Alabama ChicWave Clothing Casey Douglas 865-53-5393 2015-07-30 2024 43565.86 10563.15 10710.5 11025.59 11266.62 Indiana ChicWave Clothing Casey Green 722-12-0609 2014-12-08 2024 99163.05 24577.29 24839.94 25209.95 24535.87 New York ChicWave Clothing Chad Berry 758-94-9600 2014-09-21 2024 85548.86 21297.32 21773.19 21410.1 21068.25 West Virginia ChicWave Clothing Chad Peters 534-77-8387 2019-10-22 2024 73109.2 18724.22 18154.17 17982.4 18248.41 Nebraska Page 2
